RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID17,CTCHC,"CT Chest w/wo","CT Chest w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID18,CTCHE,"CT Chest w","CT Chest w IV Contrast",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID19,CTCSC,"CT C-Spine w/wo","CT Cervical Spine w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID20,CTCSE,"CT C-Spine w","CT Cervical Spine w IV Contrast",CT,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID21,CTCSU,"CT C-Spine wo","CT Cervical Spine wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID22,CTHDU,"CT Head wo","CT Head wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID23,CTHDC,"CT Head w/wo","CT Head w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID24,CTHDE,"CT Head w","CT Head w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID31,CTLSU,"CT L-Spine wo","CT Lumbar Spine wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID32,CTLSC,"CT L-Spine w/wo","CT Lumbar Spine w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID33,CTLSE,"CT L-Spine w","CT Lumbar Spine w IV Contrast",CT,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID34,CTMFU,"CT Maxillofacial wo","CT Maxillofacial wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,MAXILLOFACIAL, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID35812|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID35,CTMFC,"CT Maxillofacial w/wo","CT Maxillofacial w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,MAXILLOFACIAL, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID35812|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID36,CTMFE,"CT Maxillofacial w","CT Maxillofacial w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,MAXILLOFACIAL, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID35812|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID37,CTNKU,"CT Neck wo","CT Neck wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,NECK, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID7488|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID38,CTNKC,"CT Neck w/wo","CT Neck w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,NECK, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID7488|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID39,CTNKE,"CT Neck w","CT Neck w IV Contrast",CT,RADIOLOGY ORDERABLE, ,NECK, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID7488|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID40,CTORU,"CT Orbits wo","CT Orbits wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,ORBITS, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28601|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID41,CTTMU,"CT Temporal Bone wo","CT Temporal Bone wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPORAL BONE, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9361|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID42,CTORC,"CT Orbits w/wo","CT Orbits w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,ORBITS, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28601|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID43,CTTMC,"CT Temporal Bone w/wo","CT Temporal Bone w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPORAL BONE, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9361|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID44,CTORE,"CT Orbits w","CT Orbits w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,ORBITS, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28601|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID45,CTTME,"CT Temporal Bone w","CT Temporal Bone w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,TEMPORAL BONE, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9361|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID46,CTPLU,"CT Pelv wo","CT Pelvis wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID47,CTPLC,"CT Pelv w/wo","CT Pelvis w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID48,CTPLE,"CT Pelv w","CT Pelvis w IV Contrast",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID49,CTXX3D,"CT 3D","CT Post Processing",CT,RADIOLOGY ORDERABLE, , , , , , ,3D IMAGING PROCESSING, , ,WITHOUT INDEPENDENT WORKSTATION, , , , , , , , , , , , , , , ,RID10321|RID13060|0|0|0|0|0|0|RID36017|0|0|RID36022|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID51,CTTSU,"CT T-Spine wo","CT Thoracic Spine wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID52,CTTSC,"CT T-Spine w/wo","CT Thoracic Spine w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID53,CTTSE,"CT T-Spine w","CT Thoracic Spine w IV Contrast",CT,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID28677|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID62,CTSIU,"CT Sinuses wo","CT Sinuses wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,PARANASAL SINUSES, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28579|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID63,CTSIE,"CT Sinuses w","CT Sinuses w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,PARANASAL SINUSES, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28579|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID64,CTPVUCY,"CT Pelv Cystogram wo","CT Pelvis Cystogram wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,CYSTOGRAPHY, , , , ,BLADDER, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|RID34878|0|0|0|0|RID237|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID78,CTSPUDN,"CT Spine wo Density","CT Spine wo IV Contrast Density",CT,RADIOLOGY ORDERABLE, ,SPINE, , , , ,DENSITOMETRY, , , , , , , , , , , , , , , , , , ,RID10321|RID13060|0|RID7741|0|0|0|0|RID28706|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID79,CTTE,"CT Teeth","CT Teeth",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,DENTAL SCAN, , , , , , , , , , , , , , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID36025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID84,CTSTC,"CT Sella w/wo","CT Sella Turcica w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SELLA TURCICA, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9286|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID86,CTCOS,"CT Colonography Screen","CT Colonography Screening",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,COLONOGRAPHY, , , , , , , ,SCREENING, , , , , , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|RID35723|0|0|0|0|0|0|0|RID28817|0|0|0|0|0|0|0|0|0|
RPID87,CTCOUD,"CT Colonography wo Diag","CT Colonography wo IV Contrast Diagnostic",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,COLONOGRAPHY, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|RID35723|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID88,CTNDG,"CT Guide Needle Place","CT Guidance for Needle Placement",CT,RADIOLOGY ORDERABLE, , , , , , , , , , , , , , , , , , , , , , , , , ,RID10321|RID13060|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID89,CTCOED,"CT Colonography w Diag","CT Colonography w IV Contrast Diagnostic",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,COLONOGRAPHY, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|RID35723|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID90,CTXXLTDF,"CT Ltd F/U","CT Limited Follow Up",CT,RADIOLOGY ORDERABLE, , , , , , ,LIMITED, , , , , , , ,FOLLOW-UP PROCEDURE, , , , , , , , , , ,RID10321|RID13060|0|0|0|0|0|0|RID5684|0|0|0|0|0|0|0|RID35965|0|0|0|0|0|0|0|0|0|
RPID96,CTHDEPF,"CT Head Perfusion","CT Head w IV Contrast Perfusion",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , ,PERFUSION, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|RID10376|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID98,CTSIC,"CT Sinuses w/wo","CT Sinuses w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,PARANASAL SINUSES, , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID28579|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID105,CTSTE,"CT Sella w","CT Sella Turcica w IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SELLA TURCICA, , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9286|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID106,CTSTU,"CT Sella wo","CT Sella Turcica wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,HEAD, , , , , , , , , ,SELLA TURCICA, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|RID9286|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID107,,"CT UE w/wo","CT Upper Extremity w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID108,CTUEE,"CT Arm w","CT Upper Extremity w IV Contrast",CT,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID109,CTUEU,"CT Arm wo","CT Upper Extremity wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1850|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID138,CTCSERN,"CT C-Spine w by Recon Neuro","CT Cervical Spine w IV Contrast by Reconstruction Neuro",CT,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34571|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID139,CTCSURN,"CT C-Spine w/o by Recon Neuro","CT Cervical Spine wo IV Contrast by Reconstruction Neuro",CT,RADIOLOGY ORDERABLE, ,CERVICAL SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34571|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID140,CTCLC,"CT Abd Cholangio w/wo","CT Abdomen Cholangiogram w and wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,CHOLANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|0|0|0|0|RID28548|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID141,CTLSERD,"CT L-Spine w by Recon","CT Lumbar Spine w IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34573|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID142,CTLSURD,"CT L-Spine wo by Recon","CT Lumbar Spine wo IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,LUMBAR SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID34573|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID144,CTAPU,"CT Abd/Pelv wo","CT Abdomen/Pelvis wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , , , , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID145,CTAPE,"CT Abd/Pelv w","CT Abdomen/Pelvis w IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , , , , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID146,CTCHUAI,"CT Chest Airway wo","CT Chest Airway wo IV Contrast",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,AIRWAY, , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID1245|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID147,CTCHEPE,"CT Chest w Embolus","CT Chest w IV Contrast Pulmonary Embolus",CT,RADIOLOGY ORDERABLE, ,CHEST, , , , , , , , , ,PULMONARY ARTERIES, , ,EMBOLISM, , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|RID28586|0|0|RID4825|0|0|0|RID28769|0|0|0|0|0|
RPID148,CTCOUS,"CT Colonography wo Screen","CT Colonography wo IV Contrast Screening",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,COLONOGRAPHY, , , , , , , ,SCREENING, , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|RID35723|0|0|0|0|0|0|0|RID28817|0|0|0|RID28768|0|0|0|0|0|
RPID152,CTABEN,"CT Abd Enterography w","CT Abdomen Enterography w IV Contrast",CT,RADIOLOGY ORDERABLE, ,ABDOMEN,PELVIS, , , ,ENTEROGRAPHY, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID56|RID2507|0|0|0|RID28549|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID156,CTPLERD,"CT Pelv w by Recon","CT Pelvis w IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID161,CTPLURD,"CT Pelv wo by Recon","CT Pelvis wo IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,PELVIS, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID2507|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID162,CTTSERD,"CT T-Spine w by Recon","CT Thoracic Spine w IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITH IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID28677|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID163,CTTSURD,"CT T-Spine w/o by Recon","CT Thoracic Spine wo IV Contrast by Reconstruction",CT,RADIOLOGY ORDERABLE, ,THORACIC SPINE, , , , ,RECONSTRUCTION, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10321|RID13060|0|RID28677|0|0|0|0|RID28665|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
